Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 2, 9, 300, 204, 1002, 0.30328035011201315, 0
5, 2, 9, 300, 204, 204, 0, 15.162797339226938
5, 2, 10, 300, 204, 1002, 0.297333207429066, 0
5, 2, 10, 300, 204, 204, 0, 14.865464131797872
5, 2, 11, 300, 204, 1002, 0.2915026845867299, 0
5, 2, 11, 300, 204, 204, 0, 14.573961447211142
5, 2, 12, 300, 204, 1002, 0.28578649474106577, 0
5, 2, 12, 300, 204, 204, 0, 14.288174952470076
5, 2, 13, 300, 204, 1002, 0.280182395891746, 0
5, 2, 13, 300, 204, 204, 0, 14.00799255657833
5, 2, 14, 300, 204, 1002, 0.27468819000269384, 0
5, 2, 14, 300, 204, 204, 0, 13.733304366575636
5, 2, 15, 300, 204, 1002, 0.2693017221399945, 0
5, 2, 15, 300, 204, 204, 0, 13.464002644435642
5, 2, 16, 300, 204, 1002, 0.2640208796266581, 0
5, 2, 16, 300, 204, 204, 0, 13.199981764808983
5, 2, 17, 300, 204, 1002, 0.258843591214017, 0
5, 2, 17, 300, 204, 204, 0, 12.941138173594966
5, 2, 18, 300, 204, 1002, 0.2537678262693124, 0
5, 2, 18, 300, 204, 204, 0, 12.687370347325654
5, 2, 19, 300, 204, 1002, 0.24879159397925932, 0
5, 2, 19, 300, 204, 204, 0, 12.438578753346395
5, 2, 2, 300, 209, 1002, 0.19724574350149116, 0
5, 2, 2, 300, 209, 209, 0, 7.015969256498509
5, 2, 3, 300, 209, 1002, 0.1918520482727395, 0
5, 2, 3, 300, 209, 209, 0, 6.824117208225769
5, 2, 4, 300, 209, 1002, 0.18660584392366086, 0
5, 2, 4, 300, 209, 209, 0, 6.637511364302108
5, 2, 5, 300, 209, 1002, 0.18150309730839354, 0
5, 2, 5, 300, 209, 209, 0, 6.456008266993715
5, 2, 6, 300, 209, 1002, 0.17653988556766276, 0
5, 2, 6, 300, 209, 209, 0, 6.279468381426052
5, 2, 7, 300, 209, 1002, 0.17171239311298603, 0
5, 2, 7, 300, 209, 209, 0, 6.107755988313066
5, 2, 8, 300, 209, 1002, 0.1670169086933484, 0
5, 2, 8, 300, 209, 209, 0, 5.940739079619718
5, 2, 9, 300, 209, 1002, 0.16244982254209184, 0
5, 2, 9, 300, 209, 209, 0, 5.778289257077626
5, 2, 10, 300, 209, 1002, 0.1580076236018133, 0
5, 2, 10, 300, 209, 209, 0, 5.6202816334758126
5, 2, 11, 300, 209, 1002, 0.15368689682516212, 0
5, 2, 11, 300, 209, 209, 0, 5.46659473665065
5, 2, 12, 300, 209, 1002, 0.14948432054943517, 0
5, 2, 12, 300, 209, 209, 0, 5.317110416101215
5, 2, 13, 300, 209, 1002, 0.14539666394297246, 0
5, 2, 13, 300, 209, 209, 0, 5.171713752158243
5, 2, 14, 300, 209, 1002, 0.1414207845213733, 0
5, 2, 14, 300, 209, 209, 0, 5.0302929676368695
5, 2, 15, 300, 209, 1002, 0.13755362573164032, 0
5, 2, 15, 300, 209, 209, 0, 4.892739341905229
5, 2, 16, 300, 209, 1002, 0.13379221460237822, 0
5, 2, 16, 300, 209, 209, 0, 4.758947127302851
