Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 1, 19, 300, 204, 1000, 0.02011680757138237, 0
5, 1, 19, 300, 204, 1005, 0.005029201892845592, 0
5, 1, 19, 300, 204, 204, 0, 3.252465217731896
5, 1, 1, 300, 205, 1000, 0.0022166763529352985, 0
5, 1, 1, 300, 205, 1005, 0.0005541690882338246, 0
5, 1, 1, 300, 205, 205, 0, 0.29842808455883096
5, 1, 2, 300, 205, 1000, 0.00219628428989882, 0
5, 1, 2, 300, 205, 1005, 0.000549071072474705, 0
5, 1, 2, 300, 205, 205, 0, 0.29568272919645744
5, 1, 3, 300, 205, 1000, 0.002176079821336563, 0
5, 1, 3, 300, 205, 1005, 0.0005440199553341408, 0
5, 1, 3, 300, 205, 205, 0, 0.29296262941978674
5, 1, 4, 300, 205, 1000, 0.002156061221494321, 0
5, 1, 4, 300, 205, 1005, 0.0005390153053735803, 0
5, 1, 4, 300, 205, 205, 0, 0.29026755289291883
5, 1, 5, 300, 205, 1000, 0.002136226780493988, 0
5, 1, 5, 300, 205, 1005, 0.000534056695123497, 0
5, 1, 5, 300, 205, 205, 0, 0.28759726941730135
5, 1, 6, 300, 205, 1000, 0.0021165748041870104, 0
5, 1, 6, 300, 205, 1005, 0.0005291437010467526, 0
5, 1, 6, 300, 205, 205, 0, 0.2849515509120676
5, 1, 7, 300, 205, 1000, 0.002097103614010276, 0
5, 1, 7, 300, 205, 1005, 0.000524275903502569, 0
5, 1, 7, 300, 205, 205, 0, 0.28233017139455474
5, 1, 8, 300, 205, 1000, 0.0020778115468420566, 0
5, 1, 8, 300, 205, 1005, 0.0005194528867105142, 0
5, 1, 8, 300, 205, 205, 0, 0.27973290696100217
5, 1, 9, 300, 205, 1000, 0.002058696954860695, 0
5, 1, 9, 300, 205, 1005, 0.0005146742387151737, 0
5, 1, 9, 300, 205, 205, 0, 0.2771595357674263
5, 1, 10, 300, 205, 1000, 0.0020397582054032526, 0
5, 1, 10, 300, 205, 1005, 0.0005099395513508131, 0
5, 1, 10, 300, 205, 205, 0, 0.27460983801067224
5, 1, 11, 300, 205, 1000, 0.002020993680826333, 0
5, 1, 11, 300, 205, 1005, 0.0005052484202065832, 0
5, 1, 11, 300, 205, 205, 0, 0.2720835959096393
5, 1, 12, 300, 205, 1000, 0.0020024017783678793, 0
5, 1, 12, 300, 205, 1005, 0.0005006004445919698, 0
5, 1, 12, 300, 205, 205, 0, 0.26958059368667947
5, 1, 13, 300, 205, 1000, 0.0019839809100102635, 0
5, 1, 13, 300, 205, 1005, 0.0004959952275025659, 0
5, 1, 13, 300, 205, 205, 0, 0.26710061754916664
5, 1, 14, 300, 205, 1000, 0.0019657295023447043, 0
5, 1, 14, 300, 205, 1005, 0.0004914323755861761, 0
5, 1, 14, 300, 205, 205, 0, 0.26464345567123576
5, 1, 15, 300, 205, 1000, 0.0019476459964366645, 0
5, 1, 15, 300, 205, 1005, 0.00048691149910916613, 0
5, 1, 15, 300, 205, 205, 0, 0.26220889817568993
5, 1, 16, 300, 205, 1000, 0.0019297288476930242, 0
5, 1, 16, 300, 205, 1005, 0.00048243221192325605, 0
5, 1, 16, 300, 205, 205, 0, 0.25979673711607365
5, 1, 17, 300, 205, 1000, 0.0019119765257298305, 0
5, 1, 17, 300, 205, 1005, 0.0004779941314324576, 0
5, 1, 17, 300, 205, 205, 0, 0.25740676645891136
5, 1, 18, 300, 205, 1000, 0.0018943875142418687, 0
